rank,city,country,topsis_score,d_positive,d_negative
1,London,UK,0.7211661397184952,0.06049690491843374,0.1564670780689887
2,Madrid,Spain,0.6750120668062012,0.06595960887196402,0.1370005694452739
3,Istanbul,Turkey,0.6638394136008813,0.06994507418897626,0.13812534518473177
4,Berlin,Germany,0.6033081091727529,0.08537120972977451,0.1298366422677655
5,Brisbane,Australia,0.5342106168522726,0.11171934272385482,0.1281301402524939
6,Ahmedabad,India,0.33500826942007245,0.1454724722757708,0.07328584543880712
7,Doha,Qatar,0.3123228305135235,0.15184267501190912,0.06896249600358026
